"","date","hour.ending","hour","solarTCR1","solarTCR2","solarTCR3","solarTCR4","solarTCR5","windTCR1","windTCR2","windTCR3","windTCR4","windTCR5"
"4546",2019-07-09,10,4546,1319.41089925166,0,601.714895804515,0,1388.79092426864,1573.95708947424,0,-11.2377863925792,0,64.1511496279034
"4547",2019-07-09,11,4547,1581.57465956993,0,743.244105546363,0,1541.19432661951,1300.76329584653,0,-5.44533082251218,0,72.5861583916585
"4548",2019-07-09,12,4548,1859.29849918766,0,811.069056694663,0,1572.94736343992,1532.51989492513,0,9.50819960693645,0,68.0342674967043
"4549",2019-07-09,13,4549,1961.6963947796,0,829.46779718363,0,1521.83216132167,2015.96670002537,0,18.9439557882963,0,76.1828371617345
"4550",2019-07-09,14,4550,1925.28476140206,0,809.787305216378,0,1526.00477905309,2891.7542465583,0,62.7631728339777,0,66.055346940731
"4551",2019-07-09,15,4551,1859.79621216189,0,764.497333546771,0,1459.61622146512,3792.8974097558,0,90.6901133937796,0,70.1165552056957
"4552",2019-07-09,16,4552,1811.93718037717,0,689.494290232702,0,1414.43868231466,3812.07605331988,0,78.1966409578717,0,63.0440002419624
"4553",2019-07-09,17,4553,1489.52395475794,0,580.867626744073,0,1444.86857011616,3567.04754120454,0,112.350697641201,0,77.4780400429253
"4554",2019-07-09,18,4554,1101.49120280005,0,410.266930815332,0,1215.52951252755,3842.07726850378,0,119.26300783164,0,70.899903871339
"4555",2019-07-09,19,4555,640.425620729521,0,229.769921147269,0,1006.46688827288,4053.04663727338,0,91.3873813649549,0,34.5096844594204
"4556",2019-07-09,20,4556,233.374994072288,0,68.0407055499608,0,309.289257712042,3942.51742485652,0,62.8235423552916,0,16.4702481766811
"4557",2019-07-09,21,4557,38.4810715335269,0,0.718235047632839,0,6.62590362828523,4089.1947986052,0,153.740041453998,0,16.4029972578501
"4558",2019-07-09,22,4558,-5.76299233313541,0,-1.58693040168679,0,-2.82407237817293,5215.18836178978,0,202.675575431031,0,10.3902669593989
"4559",2019-07-09,23,4559,-5.99875111040004,0,-1.55570279092014,0,-2.29582862398231,6716.34295997132,0,237.997782351784,0,7.97421543102377
"4560",2019-07-09,24,4560,-5.84157859222362,0,-1.5102808116232,0,-2.9028010146148,7839.42819832109,0,255.924511705941,0,36.9095459517807
"4561",2019-07-10,1,4561,-5.78918775283148,0,-1.53299180127167,0,-2.64883767125393,8690.57219592186,0,294.171621934351,0,51.278825608684
"4562",2019-07-10,2,4562,-5.44864729678257,0,-1.548605606655,0,-2.71740777396136,8704.62052016082,0,377.94338818556,0,28.6339467734029
"4563",2019-07-10,3,4563,-5.60581981495899,0,-1.5102808116232,0,12.1826215810212,8433.75596013975,0,329.683992847242,0,8.08879107051373
"4564",2019-07-10,4,4564,-5.4224518770865,0,-1.55002504350803,0,11.4715242196107,7807.05056431937,0,370.798655338062,0,0.00622693692880195
"4565",2019-07-10,5,4565,-5.65821065435113,0,-1.56138053833226,0,-2.81137421100489,7619.17621164215,0,270.437344629798,0,1.65138367351828
"4566",2019-07-10,6,4566,-4.87234806346903,0,-0.94818381782359,0,-2.44312736313162,7296.733926232,0,233.258774928644,0,3.13339466257314
"4567",2019-07-10,7,4567,51.604976801258,0,45.0472479677387,0,151.329137408445,5301.9877025456,0,135.632203535899,0,-0.86305345833195
"4568",2019-07-10,8,4568,332.81280723857,0,203.162577337235,0,845.85031139773,3820.43641482881,0,67.0886490361173,0,7.12859739609247
"4569",2019-07-10,9,4569,827.06798606402,0,408.566445465402,0,1326.23975279886,2191.50426476022,0,2.39968847222682,0,-0.820710287216097
"4570",2019-07-10,10,4570,1262.35727515362,0,581.035120292731,0,1464.52787252572,1013.38391191096,0,1.78090087875953,0,-1.95525819564381
"4571",2019-07-10,11,4571,1637.97339817556,0,708.883797645082,0,1486.41951272343,1446.78007663863,0,-7.73031720424262,0,-1.87181724079786
"4572",2019-07-10,12,4572,1634.90853407112,0,709.5480940923,0,1513.76628553653,2143.17373981355,0,-1.02024491020461,0,-0.179335783549496
"4573",2019-07-10,13,4573,1664.11642703224,0,732.220758945737,0,1539.0178607669,3388.54159772973,0,7.17189913208921,0,0.504381891232958
"4574",2019-07-10,14,4574,1838.94465808381,0,725.011439169201,0,1507.08197033927,3727.09548797698,0,21.7541570054575,0,9.0327947089201
"4575",2019-07-10,15,4575,1779.6906187313,0,714.259205007504,0,1518.95983590826,4430.65272412261,0,49.309825009179,0,2.76226922161654
"4576",2019-07-10,16,4576,1605.51727317213,0,651.138267590143,0,1453.04111050551,5050.26318000674,0,151.941029718845,0,-1.56171578174353
"4577",2019-07-10,17,4577,1348.04249297946,0,563.103374528411,0,1434.37480476849,5433.97331735736,0,229.383051660293,0,0.236623603294474
"4578",2019-07-10,18,4578,1091.32737995797,0,439.599593383183,0,1321.03858352683,5679.35786333891,0,333.553679163462,0,6.6466324778032
"4579",2019-07-10,19,4579,721.971962243387,0,251.24458129675,0,1033.25494173059,6667.15023252938,0,297.190098000045,0,28.924122034285
"4580",2019-07-10,20,4580,225.647345261947,0,72.7106527964273,0,337.060149308553,6961.90766766831,0,367.152336250703,0,60.2132347141291
"4581",2019-07-10,21,4581,9.82328238602627,0,2.26542121743481,0,6.74526639966484,7438.52977540544,0,545.619733634868,0,49.090679971903
"4582",2019-07-10,22,4582,-5.71060149374327,0,-1.52589461700653,0,-2.53709380017514,9101.16074538891,0,723.712839986886,0,39.4227376962451
"4583",2019-07-10,23,4583,-5.81538317252755,0,-1.56705828574438,0,-2.54979196734319,8255.21998971237,0,675.224040467576,0,25.1045189221579
"4584",2019-07-10,24,4584,-5.60581981495899,0,-1.47763376400353,0,-2.89264248088037,9014.12976814182,0,662.208371672303,0,19.8365302803915
"4585",2019-07-11,1,4585,-5.44864729678257,0,-1.55144448036105,0,-2.70216997335971,8061.91504818431,0,689.751965771762,0,8.13860656594414
"4586",2019-07-11,2,4586,-5.63201523465506,0,-1.57131659630346,0,-3.00692598539276,6269.20731965972,0,657.626325004579,0,43.5387430061832
"4587",2019-07-11,3,4587,-5.44864729678257,0,-1.57131659630346,0,-3.1059716893035,7025.99805315053,0,567.337668927537,0,79.5042853195575
"4588",2019-07-11,4,4588,-5.26527935891008,0,-1.55286391721408,0,-2.5828072019801,7058.95477838043,0,423.715559245745,0,66.3505037511563
"4589",2019-07-11,5,4589,-5.29147477860615,0,-1.57841378056861,0,-2.95105404985337,5634.480437938,0,414.119823832904,0,32.8832085336173
"4590",2019-07-11,6,4590,-5.13430226042973,0,-1.20652132507493,0,-2.25519448904457,4583.93602743709,0,585.264398281694,0,46.6870823173855
"4591",2019-07-11,7,4591,65.2527904629105,0,31.4433651683057,0,78.7895876442779,3456.94299568833,0,621.190300415586,0,55.3350523241056
"4592",2019-07-11,8,4592,216.871879663764,0,159.486505369522,0,516.909370176424,2555.04915867654,0,503.478789281712,0,41.9894810982973
"4593",2019-07-11,9,4593,551.570757120451,0,332.226292635779,0,766.110900849283,1172.41523186062,0,298.578596990265,0,40.6195549739609
"4594",2019-07-11,10,4594,1026.28415285263,0,501.46290974876,0,957.507834939773,943.202344621313,0,266.27184765914,0,28.8332087551245
