X,Y,FID,Plant_Name,Owner,Operator,City,State,County,ZipCode,Period,Cap_MMcfd,Plant_Flow,BTU_Conten,Dry_Stor,NGL_Stor,Longitude,Latitude,Source
-102.24722,31.78222,365,Roberts Ranch,"DCP Operating Company, LP","DCP Operating Company, LP",Odessa,TX,Midland,79766,2017,70,70,1100,0,362,-102.24722,31.78222,"EIA-757, Natural Gas Processing Plant Survey"
-102.35017,48.0642,366,Robinson Lake Gas Plant,Andeavor Field Services LLC,Andeavor Field Services LLC,New Town,ND,Mountrail,58673,2017,140,97,1550,0,29050,-102.35017,48.0642,"EIA-757, Natural Gas Processing Plant Survey"
-98.03453,36.17993,367,Rodman,Mustang Ventures Company,"Mustang Gas Products, LLC",Waukomis,OK,Garfield,73773,2017,80,68,1200,0,580,-98.03453,36.17993,"EIA-757, Natural Gas Processing Plant Survey"
-99.52159,35.54953,368,Roger Mills,Enable Midstream,Enable Midstream Partners,Cheyenne,OK,Roger Mills,73628,2017,100,30,1065,0,1200,-99.52159,35.54953,"EIA-757, Natural Gas Processing Plant Survey"
-83.04545,36.33461,369,Rogersville Cryogenic Plant,"Continuum Midstream, LLC","Continuum Midstream, LLC",Rogersville,TN,Hawkins,37857,2017,25,12,1225,0,2857,-83.04545,36.33461,"EIA-757, Natural Gas Processing Plant Survey"
-104.38744,40.11756,370,Roggen,"DCP Operating Company, LP","DCP Operating Company, LP",Roggen,CO,Weld,80652,2017,75,65,1300,0,5950,-104.38744,40.11756,"EIA-757, Natural Gas Processing Plant Survey"
-98.75314,36.66771,371,Rose Valley,"SemGas, LP","SemGas, LP",Alva,OK,Woods,73717-5073,2017,400,250,1130,0,0,-98.75314,36.66771,"EIA-757, Natural Gas Processing Plant Survey"
-95.06294,32.78708,372,Rosewood Plant,ETC Field Services LLC,ETC Field Services LLC,Gilmer,TX,Upshur,75644,2017,12,4,1103,0,467,-95.06294,32.78708,"EIA-757, Natural Gas Processing Plant Survey"
-96.43593,31.46502,373,Rothermel,Linn Energy LLC, ,Groesbeck,TX,Limestone,76642,2017,15,15,1080,0,714,-96.43593,31.46502,"EIA-757, Natural Gas Processing Plant Survey"
-78.97158,41.72062,374,Roystone Gas Plant,Elkhorn Holdings LLC,Elkhorn Gas Processing,Sheffield,PA,Warren,16347,2017,9,6,1251,0,3036,-78.97158,41.72062,"EIA-757, Natural Gas Processing Plant Survey"
-105.85214,43.11497,375,Sage Creek Natural Gas Processing Plant,ONEOK,ONEOK,Glenrock,WY,Converse,82637,2017,50,20,1300,0,200,-105.85214,43.11497,"EIA-757, Natural Gas Processing Plant Survey"
-97.62442,33.63325,376,Saint Jo Processing Plant,"Kinder Morgan - Copano Field Services/North Texas, LLC", ,Montague,TX,Montague,76251,2017,110,73,1082,0,0,-97.62442,33.63325,"EIA-757, Natural Gas Processing Plant Survey"
-101.93522,32.21095,377,Sale Ranch Gas Plant,West Texas Gas Processing LP,West Texas Gas Processing LP,Stanton,TX,Martin,79782,2017,250,210,1247,0,750,-101.93522,32.21095,"EIA-757, Natural Gas Processing Plant Survey"
-89.0156,38.55556,378,Salem Gas Plant, ,Citation Oil & Gas Corp.,Salem,IL,Marion,62881,2017,1.5,0.85,0,0,1500,-89.0156,38.55556,"EIA-757, Natural Gas Processing Plant Survey"
-100.86873,33.23243,379,Salt Creek Processing Plant,Occidental Permian Ltd,Occidental Permian Ltd,Snyder,TX,Kent,79550,2017,165,160,1170,0,1300,-100.86873,33.23243,"EIA-757, Natural Gas Processing Plant Survey"
-107.96831,36.7319,380,San Juan Gas Plant,"Hilcorp San Juan, LLC.",Harvest Pipeline Company,Bloomfield,NM,San Juan,87413,2017,550,372,1152,0,4000,-107.96831,36.7319,"EIA-757, Natural Gas Processing Plant Survey"
-98.40911,29.212,381,San Martin Natural Gas Plant,Enterprise Hydrocarbons L.P.,Enterprise Hydrocarbons L.P.,Elmendorf,TX,Bexar,78112-9771,2017,200,145,1251,0,0,-98.40911,29.212,"EIA-757, Natural Gas Processing Plant Survey"
-118.79622,34.38792,382,Santa Clara Valley Gas Plant,"Vintage Pipeline, Inc.","Vintage Pipeline, Inc.",Piru,CA,Ventura,93040,2017,17,10,1250,0,2610,-118.79622,34.38792,"EIA-757, Natural Gas Processing Plant Survey"
-103.60792,33.05755,383,Saunders Plant,"Targa Midstream Services, LLC","Targa Midstream Services, LLC",Lovington,NM,Lea,88260,2017,70,38,1220,0,2286,-103.60792,33.05755,"EIA-757, Natural Gas Processing Plant Survey"
-92.06669,29.89667,384,Sea Robin Gas Processing Plant,"Enterprise Gas Processing, LLC","Enterprise Gas Processing, LLC",Erath,LA,Vermillion,70533,2017,660,100,1080,0,350,-92.06669,29.89667,"EIA-757, Natural Gas Processing Plant Survey"
-102.68231,32.75757,385,Seminole Gas Processing Plant,Oxy USA INC,Oxy USA INC,Seminole,TX,Gaines,79360,2017,285,275,0,0,10000,-102.68231,32.75757,"EIA-757, Natural Gas Processing Plant Survey"
-99.18667,32.27666,386,Shackelford Plant,Dgp Taurus Gp Holding LLC,Davis Gas Processing Inc,Cisco,TX,Eastland,76437,2017,15,7,1262,0,750,-99.18667,32.27666,"EIA-757, Natural Gas Processing Plant Survey"
-99.22028,32.85944,387,Shackelford Plant,"Targa Midstream Services, LLC","Targa Midstream Services, LLC",Albany,TX,Shackelford, ,2017,15,6,1321,0,4528,-99.22028,32.85944,"EIA-757, Natural Gas Processing Plant Survey"
-95.36517,32.43741,388,Shamburger Lake Plant,Valence Operating Company,Valence Operating Company,Tyler,TX,Smith,75706,2017,2,0.115,1295,0,355,-95.36517,32.43741,"EIA-757, Natural Gas Processing Plant Survey"
-96.63621,33.68263,389,Sherman,"SemGas, LP","SemGas, LP",Sherman,TX,Grayson,75092-6707,2017,30,30,0,0,350,-96.63621,33.68263,"EIA-757, Natural Gas Processing Plant Survey"
-85.36458,44.07761,390,Sherman 35,"Breitburn Operating, L.P.","Breitburn Operating, L.P.",LeRoy,MI,Osceola,49655,2017,2,2,0,0,714,-85.36458,44.07761,"EIA-757, Natural Gas Processing Plant Survey"
-80.68469,39.27611,391,Sherwood Plant,MarkWest Liberty Midstream & Resource,MarkWest Liberty Midstream & Resources,West Union,WV,Doddridge,26456,2017,1800,1481,1225,0,0,-80.68469,39.27611,"EIA-757, Natural Gas Processing Plant Survey"
-98.8713,27.94161,392,Shilling Gas Plant,Enterprise Hydrocarbons L.P.,Enterprise Products Operating LLC,Freer,TX,Webb,78357-2032,2017,110,110,1200,0,0,-98.8713,27.94161,"EIA-757, Natural Gas Processing Plant Survey"
-97.58597,34.49358,393,Sholem Alechem,"DCP Operating Company, LP","DCP Operating Company, LP",Duncan,OK,Stephens-Carter,73533,2017,60,55,1235,0,5950,-97.58597,34.49358,"EIA-757, Natural Gas Processing Plant Survey"
-97.56557,27.79971,394,Shoup Cryogenic Plant,Enterprise Hydrocarbons L.P.,Enterprise Hydrocarbons L.P.,Corpus Christi,TX,Nueces,78410,2017,285,255,1120,0,1700,-97.56557,27.79971,"EIA-757, Natural Gas Processing Plant Survey"
-118.1756,33.81056,395,Signal Hill West Unit Gas Plant,"Signal Hill Petroleum, Inc.","Signal Hill Petroleum, Inc.",Signal Hill,CA,Los Angeles,90755,2017,4,1,1476,0,952,-118.1756,33.81056,"EIA-757, Natural Gas Processing Plant Survey"
-104.60421,41.28857,396,Silo Gas Plant,"Kaiser-Frontier Midstream, LLC","Kaiser-Frontier Midstream, LLC",Cheyenne,WY,Laramie,82009,2017,15,6,1400,0,2140,-104.60421,41.28857,"EIA-757, Natural Gas Processing Plant Survey"
-97.67461,32.8013,397,Silver Creek Plant,"Enlink Texas Processing, LP","Enlink Texas Processing, LP",Weatherford,TX,Parker,76087,2017,200,146,1164,0,1287,-97.67461,32.8013,"EIA-757, Natural Gas Processing Plant Survey"
