GEOID,2019_Population,INTPTLAT,INTPTLONG                                                                                                               
5149,21341,34.997713,-93.408303
6001,1671329,37.647139,-121.912488
6003,1129,38.621783,-119.798352
6005,39752,38.443549,-120.653858
6007,219186,39.665336,-121.603209
6009,45905,38.191068,-120.554107
6011,21547,39.177739,-122.237563
6013,1153526,37.919479,-121.951543
6015,27812,41.749903,-123.980998
6017,192843,38.785612,-120.534225
6019,999101,36.761006,-119.655019
6021,28393,39.602546,-122.4017
6023,135558,40.706655,-123.926176
6025,181215,33.040814,-115.3554
6027,18039,36.56216,-117.404209
6029,900202,35.346629,-118.729506
6031,152940,36.072478,-119.81553
6033,64386,39.094802,-122.746757
6035,30573,40.715287,-120.621223
6037,10039107,34.196398,-118.261862
6039,157327,37.209821,-119.749802
6041,258826,38.051367,-122.746396
6043,17203,37.574343,-119.911721
6045,86749,39.432388,-123.442881
6047,277680,37.194806,-120.722802
6049,8841,41.592918,-120.71837
6051,14444,37.915836,-118.875167
6053,434061,36.240104,-121.315578
6055,137744,38.5071,-122.325904
6057,99755,39.297508,-120.771343
6059,3175692,33.675687,-117.777207
6061,398329,39.062032,-120.722718
6063,18807,39.992295,-120.824371
6065,2470546,33.729828,-116.002239
6067,1552058,38.450136,-121.344329
6069,62808,36.611651,-121.085811
6071,2180085,34.856661,-116.181571
6073,3338330,33.023604,-116.776117
6075,881549,37.727239,-123.032229
6077,762148,37.934982,-121.272244
6079,283111,35.388189,-120.448897
6081,766573,37.414672,-122.371546
6083,446499,34.536677,-120.038364
6085,1927852,37.221614,-121.68954
6087,273213,37.012347,-122.007789
6089,180080,40.760514,-122.043556
6091,3005,39.576925,-120.521993
6093,43539,41.587986,-122.533287
6095,447643,38.267226,-121.939594
6097,494336,38.525182,-122.92611
6099,550660,37.562316,-121.002831
6101,96971,39.03619,-121.70394
6103,65084,40.126157,-122.232274
6105,12285,40.647858,-123.114666
6107,466195,36.228834,-118.781055
6109,54478,38.021434,-119.964733
6111,846006,34.358748,-119.133145
6113,220500,38.679609,-121.90275
6115,78668,39.27013,-121.344259
8001,517421,39.874325,-104.331872
8003,16233,37.568442,-105.788041
8005,656590,39.644554,-104.331706
8007,14029,37.202395,-107.050863
8009,3581,37.30978,-102.543741
8011,5577,37.931891,-103.077584
8013,326196,40.094963,-105.397704
8014,70465,39.953593,-105.050787
8015,20356,38.734599,-106.300025
8017,1831,38.835646,-102.601791
8019,9700,39.689403,-105.670783
8021,8205,37.213406,-106.176447
8023,3887,37.277547,-105.42894
8025,6061,38.30618,-103.772736
8027,5068,38.101996,-105.373512
8029,31162,38.861595,-107.864892
8031,727211,39.76185,-104.881105
8033,2055,37.733823,-108.506219
8035,351154,39.325414,-104.925987
8037,55127,39.626992,-106.695169
8039,26729,39.315157,-104.114076
8041,720403,38.827383,-104.527472
8043,47839,38.45517,-105.424958
8045,60061,39.599352,-107.90978
8047,6243,39.861156,-105.528878
8049,15734,40.113065,-106.110837
8051,17462,38.670499,-107.05688
8053,820,37.811519,-107.383974
8055,6897,37.687815,-104.959928
