Model,Type,Stage,Unit,CO2,"CO2 (VOC, CO, CO2)",CH4,N2O,GHG,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,
BEV300,Fixed,Battery.Co.Mine,g,11093.85695,11124.23525,13.6000831,0.271243173,11604.11718,3.837955042,11.71969858,26.82630176,314.4029146,33.85188225,0.631556971,1.127671577,0.339077147,
BEV300,Fixed,Battery.Co.Prod,g,73951.30112,74074.5885,179.4926747,1.715093001,79913.86838,14.33265822,50.02916552,86.74917249,8.721606066,5.985596219,335.5790183,0.681901617,1.827836185,
BEV300,Fixed,Battery.Remainder,g,4091194.17,4104629.242,9681.09413,92.44045455,4454480.395,795.737623,2916.94113,5266.071265,2639.193192,887.7571496,38938.16947,41.44211509,91.29904663,
BEV300,Fixed,Battery.Total,g,4586184.844,4594169.325,10656.2413,102.0170408,4975391.459,895.855414,3304.253516,6223.335076,3233.957385,1075.509456,52016.37327,48.34462089,102.6157822,
BEV300,Fixed,Car.Cu.Mine,g,16226.86671,16259.63169,29.13879822,0.214473074,17190.631,2.093649223,16.69803928,15.85801556,5.416763505,2.686001025,6.439189311,0.049139603,0.196276016,
BEV300,Fixed,Car.Cu.Prod,g,190570.4448,190891.7712,407.3029305,4.2316692,204232.2514,23.41896471,158.0328353,218.5495586,26.52884815,16.33401265,10793.11805,3.335100869,3.496248849,
BEV300,Fixed,Car.Remainder,g,4149460.184,4274748.226,11525.07099,107.9670931,4696538.486,31960.25232,16340.91985,4522.284783,1864.971645,884.649744,11694.24083,25.46995729,63.21077523,
BEV300,Fixed,Total,g,8942442.34,9076068.954,22617.75401,214.4302762,9893352.827,32881.62035,19819.90424,10980.02743,5130.874642,1979.179214,74510.17133,77.19881864,169.5190823,
PHEV20,Fixed,Battery.Cu.Mine,g,1366.967,1369.727,2.455,0.018,1448.155,0.176,1.407,1.336,0.456,0.226,0.542,0.004,0.017,
PHEV20,Fixed,Battery.Cu.Prod,g,16053.834,16080.903,34.312,0.356,17204.718,1.973,13.313,18.411,2.235,1.376,909.222,0.281,0.295,
PHEV20,Fixed,Battery.Li.Prod,g,29481.98,29532.458,41.995,0.214,30849.02,5.04,22.127,43.946,8.069,5.687,37.926,0.524,0.981,
PHEV20,Fixed,Battery.Graphite.Prod,g,29756.936,29799.237,68.436,0.626,32018.223,7.351,12.339,90.465,34.966,17.352,483.957,0.127,0.26,
PHEV20,Fixed,Battery.Ni.Mine,g,5213.218,5221.425,6.951,0.262,5499.344,0.866,3.506,17.49,1.393,1.062,10.538,0.099,0.188,
PHEV20,Fixed,Battery.Ni.Prod,g,22567.802,22633.194,44.855,0.459,24100.468,5.6,30.507,45.322,16.694,9.326,1854.335,0.278,0.602,
PHEV20,Fixed,Battery.Mn.Mine,g,1646.497,0,3.38,0.029,0.019,0.201,1.053,1.364,6.483,3.249,0.9,0.006,0.026,
PHEV20,Fixed,Battery.Co.Mine,g,2870.91,2878.771,3.519,0.07,3002.957,0.993,3.033,6.942,81.362,8.76,0.163,0.292,0.088,
PHEV20,Fixed,Battery.Co.Prod,g,19137.394,19169.299,46.45,0.444,20680.41,3.709,12.947,22.449,2.257,1.549,86.842,0.176,0.473,
PHEV20,Fixed,Battery.Remainder,g,515925.988,518476.298,1318.61,11.812,566161.792,104.364,366.715,565.888,247.669,94.455,3197.181,4.406,10.904,
PHEV20,Fixed,Battery.Total,g,644021.526,645161.312,1570.962,14.291,700965.106,130.272,466.945,813.612,401.584,143.042,6581.608,6.192,13.833,
PHEV20,Fixed,Car.Cu.Mine,g,11980.246,12004.436,21.513,0.158,12691.79,1.546,12.328,11.708,3.999,1.983,4.754,0.036,0.145,
PHEV20,Fixed,Car.Cu.Prod,g,140697.576,140934.81,300.711,3.124,150784.046,17.29,116.675,161.354,19.586,12.059,7968.526,2.462,2.581,
PHEV20,Fixed,Car.Remainder,g,5053261.088,5185200.623,13335.297,123.826,5667149.43,32684.782,19136.703,5653.295,2247.614,1075.352,14450.117,31.974,73.157,
PHEV20,Fixed,Total,g,5849960.437,5983301.181,15228.483,141.399,6531590.373,32833.891,19732.651,6639.97,2672.783,1232.437,29005.005,40.664,89.716,
CV,Variable,Feedstock,g/mi,,-2.62,0.27,0,5.535,0.011,0.022,0.033,0.002,0.001,0.008,0,0.001,
CV,Variable,Fuel,g/mi,,53.252,0.149,0.01,60.462,0.096,0.035,0.058,0.009,0.006,0.018,0.001,0.001,
CV,Variable,Operation,g/mi,,280.343,0.008,0.004,281.603,0.153,1.466,0.039,0.035,0.008,0.002,0.003,0.002,
HEV,Variable,Feedstock,g/mi,,-1.758,0.181,0,3.716,0.007,0.015,0.022,0.001,0.001,0.005,0,0,
HEV,Variable,Fuel,g/mi,,35.751,0.1,0.007,40.592,0.065,0.023,0.039,0.006,0.004,0.012,0,0.001,
HEV,Variable,Operation,g/mi,,188.214,0.004,0.004,189.348,0.135,1.466,0.033,0.035,0.008,0.001,0.003,0.002,
BEV300,Variable,Feedstock_NG,g/mi,,11.379,0.387,0.002,23.437,0.018,0.047,0.054,0.001,0.001,0.023,0.00019991,0.000283631,
BEV300,Variable,Feedstock_NGCC,g/mi,,10.439,0.355,0.002,21.500,0.016,0.043,0.050,0.001,0.001,0.021,0.000183393,0.000260197,
BEV300,Variable,Feedstock_Nuclear,g/mi,,1.589,0.005,0.000,1.734,0.001,0.003,0.003,0.000,0.000,0.001,2.4766E-05,4.55463E-05,
BEV300,Variable,Feedstock_Coal,g/mi,,4.693,0.427,0.000,17.516,0.021,0.005,0.016,0.025,0.003,0.020,0.000103892,0.000229183,
BEV300,Variable,Feedstock_RFC,g/mi,,6.275,0.244,0.001,13.8,0.012,0.022,0.027,0.005,0.001,0.014,0,0,
BEV300,Variable,Fuel,g/mi,,106.115,0.01,0.002,106.825,0.001,0.013,0.046,0.007,0.006,0.048,0,0.002,
BEV300,Variable,Operation,g/mi,,0,0,0,0,0,0,0,0.031,0.004,0,0.001,0.001,
PHEV20_CD_Electric,Variable,Feedstock_NG,g/mi,,14.07069114,0.478685812,0.002075786,28.98134889,0.022240046,0.058092953,0.066989762,0.001033973,0.000930862,0.028480475,0.000247207,0.000350735,
PHEV20_CD_Electric,Variable,Feedstock_NGCC,g/mi,,12.90816066,0.439136451,0.001904283,26.58688929,0.020402558,0.053293272,0.06145502,0.000948545,0.000853954,0.026127398,0.000226782,0.000321757,
PHEV20_CD_Electric,Variable,Feedstock_Nuclear,g/mi,,1.965397328,0.005635661,3.90942E-05,2.144827106,0.001044201,0.003893028,0.003863672,0.00025617,0.000183855,0.000802028,3.06254E-05,5.63221E-05,
PHEV20_CD_Electric,Variable,Feedstock_Coal,g/mi,,5.803084478,0.527531476,0.000115795,21.6597145,0.026300307,0.006480601,0.019412383,0.03039672,0.004266329,0.024242486,0.000128471,0.000283406,
PHEV20_CD_Electric,Variable,Feedstock_RFC,g/mi,,7.759,0.302,0.001,17.065,0.015,0.027,0.033,0.006,0.001,0.017,0,0,
PHEV20_CD_Electric,Variable,Fuel,g/mi,,131.22,0.012,0.002,132.098,0.002,0.017,0.057,0.008,0.007,0.059,0,0.002,
PHEV20_CD_Electric,Variable,Operation,g/mi,,0,0,0,0,0,0,0,0.031,0.004,0,0.001,0.001,
PHEV20_CD_Gasoline,Variable,Feedstock,g/mi,,-0.055,0.006,0,0.117,0,0,0.001,0,0,0,0,0,
PHEV20_CD_Gasoline,Variable,Fuel,g/mi,,1.121,0.003,0,1.273,0.002,0.001,0.001,0,0,0,0,0,
PHEV20_CD_Gasoline,Variable,Operation,g/mi,,5.902,0,0,5.926,0.003,0.031,0.001,0,0,0,0,0,
PHEV20_CS_Gasoline,Variable,Feedstock,g/mi,,-1.804,0.186,0,3.812,0.007,0.015,0.023,0.001,0.001,0.005,0,0,
PHEV20_CS_Gasoline,Variable,Fuel,g/mi,,36.678,0.103,0.007,41.645,0.066,0.024,0.04,0.006,0.004,0.012,0,0.001,
PHEV20_CS_Gasoline,Variable,Operation,g/mi,,193.101,0.004,0.004,194.235,0.135,1.466,0.033,0.035,0.008,0.001,0.003,0.002,
PHEV20_Average,Variable,Feedstock,g/mi,,2.143,0.236,0,9.363,0.011,0.02,0.028,0.003,0.001,0.01,0,0,
PHEV20_Average,Variable,Fuel,g/mi,,76.396,0.067,0.005,79.728,0.04,0.021,0.048,0.007,0.005,0.032,0,0.001,
PHEV20_Average,Variable,Operation,g/mi,,115.378,0.002,0.002,116.051,0.08,0.87,0.02,0.033,0.006,0.001,0.002,0.001,
PHEV20_Average,Variable,Total,g/mi,,193.918,0.305,0.008,205.143,0.131,0.911,0.095,0.044,0.013,0.043,0.003,0.003,
