Model,Type,Stage,Unit,CO2,"CO2 (VOC, CO, CO2)",CH4,N2O,GHG,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC
HEV,Fixed,Battery.Remainder,g,126106.5558,126808.9416,449.5872264,4.427560291,152110.946,62.4041814,323.2044667,124.7848454,41.79194937,18.25141596,317.8040873,0.742415589,2.197853585
HEV,Fixed,Battery.Total,g,271055.2068,272101.2242,785.6073401,12.80176575,309702.9965,93.56452153,480.0778192,319.6693965,301.3655486,128.6668399,23296.45049,2.262382529,5.010968524
HEV,Fixed,Car.Cu.Mine,g,11888.25,11912.254,21.348,0.157,12594.33,1.534,12.233,11.618,3.968,1.968,4.718,0.036,0.144
HEV,Fixed,Car.Cu.Prod,g,139617.16,139852.573,298.401,3.1,149626.176,17.157,115.779,160.115,19.436,11.967,7907.336,2.443,2.561
HEV,Fixed,Car.Remainder,g,5049574.461,5181131.92,13478.28009,124.9579079,5668056.812,32685.22487,18892.68821,5530.185453,2266.269367,1088.226972,14577.67704,32.36670349,73.6334656
HEV,Fixed,Total,g,5472135.078,5604997.971,14583.63643,141.0166737,6139980.314,32797.48039,19500.77803,6021.587849,2591.038915,1230.828812,45786.18153,37.10808602,81.34943413
BEV300_NMC111,Fixed,Battery.Cu.Mine,g,5234.811777,5244.944069,9.57125341,0.0707905,5550.841154,0.673515722,5.112016017,4.846461081,1.741259436,0.870778636,1.800026285,0.016544908,0.064308201
BEV300_NMC111,Fixed,Battery.Cu.Prod,g,61691.21183,61789.45219,133.3507934,1.518188753,66192.29601,7.504879635,47.63191028,68.56551739,8.405174614,5.249921121,3510.698286,1.082342189,1.120173108
BEV300_NMC111,Fixed,Battery.Li.Prod,g,649700.1226,650761.6826,964.0021113,5.556759092,681154.2871,108.7367192,459.8769791,932.974317,170.3368046,119.8292031,856.7467827,10.97659131,21.09588166
BEV300_NMC111,Fixed,Battery.Graphite.Prod,g,321563.8126,321959.3468,739.9443123,7.034277553,346021.7597,78.8725295,95.27306241,952.9389951,378.0402246,188.5147413,5213.290925,1.397703952,2.845336933
BEV300_NMC111,Fixed,Battery.Ni.Mine,g,108825.1765,109001.9876,144.6303248,22.00164285,119171.3327,16.15213714,80.4811187,332.741554,24.17115386,17.15842814,209.7804158,1.46910546,2.580130538
BEV300_NMC111,Fixed,Battery.Ni.Prod,g,464909.9076,466243.3739,923.560031,39.76872547,504488.8871,111.3995182,627.627103,873.0489351,333.2480227,182.5055706,37911.05472,4.690293406,10.00119631
BEV300_NMC111,Fixed,Battery.Mn.Mine,g,33245.5909,0,69.9228188,0.596900653,0,4.03364377,18.59355405,25.02170981,132.4146034,66.42751134,15.70705201,0.118965734,0.532505187
BEV300_NMC111,Fixed,Battery.Co.Mine,g,58706.61215,58867.23934,72.01718901,1.436078946,61408.31593,20.31260322,61.93063764,141.895081,1664.203397,179.1849122,3.245714579,5.969215985,1.794949949
BEV300_NMC111,Fixed,Battery.Co.Prod,g,389864.8507,390482.3249,952.9638075,9.186674853,421505.7079,75.43554912,243.3242513,441.7235978,45.47016246,31.83862869,1761.489956,3.6361024,9.70010574
BEV300_NMC111,Fixed,Battery.Remainder,g,2461161.238,2498153.613,6576.394202,62.53641996,2748773.832,451.0890004,1463.063648,2184.044342,425.3251445,256.6660783,2075.497334,17.57069745,49.16405878
BEV300_NMC111,Fixed,Battery.Total,g,4554903.334,4562503.964,10586.35684,149.7064586,4954267.26,874.210096,3102.914281,5957.80051,3183.355947,1048.245773,51559.31121,46.92756279,98.8986464
