Queue Number,Name,Commercial Name,State,County,Status,Transmission Owner,MFO,MW Energy,MW Capacity,MW In Service,Capacity or Energy,Project Type,Fuel,Project (AC/DC),Rights (MW),Initial Study,Feasibility Study,Feasibility Study Status,System Impact Study,System Impact Study Status,Facilities Study,Facilities Study Status,Interim Interconnection Service Agreement,Interim/Interconnection Service Agreement Status,Wholesale Market Participation Agreement,Construction Service Agreement,Construction Service Agreement Status,Upgrade Construction Service Agreement,Upgrade Construction Service Agreement Status,Backfeed Date,Queue Date,Long-Term Firm Service Start Date,Long-Term Firm Service End Date,Test Energy Date,Withdrawal Date,Withdrawn Remarks,Projected In Service Date,Revised In Service Date,Actual In Service Date,Attachment Type,Alternate Queue,Sliding Queue
AF1-133,Pequest River-Richmond 34.5 kV,NH Gravel Hill at Martins Creek,PA,Northampton,Engineering and Procurement,ME,20,20,12,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1133_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1133_imp.pdf,Document Posted,,Not Required,N/A,Wholesale Market Participation Agreement,https://www.pjm.com/pub/planning/project-queues/wmpa/af1133_wmpa.pdf,https://www.pjm.com/pub/planning/project-queues/csa/af1133_wmpa.pdf,Not Required,N/A,N/A,,9/18/2019,N/A,N/A,,,,2/28/2023,2/28/2023,,N,No,
AF1-134,Philipsburg-Madera 34.5 kV,,PA,Clearfield,Active,PENELEC,20,20,12,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1134_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1134_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/18/2019,N/A,N/A,,,,4/1/2022,,,N,No,
AF1-135,Madera 34.5 kV,,PA,Clearfield,Withdrawn,PENELEC,20,20,12,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1135_fea.pdf,Document Posted,,,,,N/A,,N/A,,,N/A,N/A,,9/18/2019,N/A,N/A,,3/19/2020,,4/1/2022,,,N,No,
AF1-136,Warfordsburg-Purcell Junction 34.5 kV,,PA,Fulton,Active,APS,15.7,15.72,9.43,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1136_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1136_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/18/2019,N/A,N/A,,,,6/1/2022,,,N,No,
AF1-137,Newlinville 34.5 kV,Ch-Valley Solar,PA,Chester,Engineering and Procurement,PECO,9.8,9.8,5.9,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1137_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1137_imp.pdf,Document Posted,,Not Required,N/A,Wholesale Market Participation Agreement,https://www.pjm.com/pub/planning/project-queues/wmpa/af1137_wmpa.pdf,https://www.pjm.com/pub/planning/project-queues/csa/af1137_wmpa.pdf,Not Required,N/A,N/A,,9/18/2019,N/A,N/A,,,,4/10/2023,4/10/2023,,N,No,
AF1-138,Huntingdon-Warrier Ridge 46 kV,,PA,Huntingdon,Withdrawn,PENELEC,20,20,12,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1138_fea.pdf,Document Posted,,,,,N/A,,N/A,,,N/A,N/A,,9/18/2019,N/A,N/A,,3/19/2020,,4/1/2022,,,N,No,
AF1-139,Thompson 34.5 kV,,PA,Wayne,Withdrawn,PENELEC,20,20,12,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1139_fea.pdf,Document Posted,,,,,N/A,,N/A,,,N/A,N/A,,9/18/2019,N/A,N/A,,3/19/2020,,6/1/2022,,,N,No,
AF1-140,Claysburg 23 kV,BL-Diamond Bear Rocks,PA,Adams,Suspended,PENELEC,16.3,16.3,9.78,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1140_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1140_imp.pdf,Document Posted,,Not Required,N/A,Wholesale Market Participation Agreement,https://www.pjm.com/pub/planning/project-queues/wmpa/af1140_wmpa.pdf,https://www.pjm.com/pub/planning/project-queues/csa/af1140_wmpa.pdf,Not Required,N/A,N/A,,9/18/2019,N/A,N/A,,,,2/28/2023,2/28/2023,,N,No,
AF1-141,Varner 138 kV,,IN,DeKalb,Active,AEP,96,96,62.8,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1141_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1141_imp.pdf,Document Posted,,In Progress,https://www.pjm.com/pub/planning/project-queues/isa/af1_141_isa2.pdf,Interim Study,N/A,,,N/A,N/A,,8/30/2019,N/A,N/A,,,,5/31/2022,,,N,No,
AF1-142,Moshannon-Milesburg 230 kV,,PA,Clearfield,Active,APS,202.4,202.4,121.44,,Capacity,Generation Interconnection,Solar; Storage,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1142_fea.pdf,Document Posted,,In Progress,,,N/A,,N/A,,,N/A,N/A,,9/4/2019,N/A,N/A,,,,4/1/2022,,,N,No,
