Model,Type,Stage,Unit,CO2,"CO2 (VOC, CO, CO2)",CH4,N2O,GHG,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC
CV,Variable,Feedstock,g/mi,,-3.842483529,0.395462656,0.000363222,8.117649879,0.01593748,0.031832688,0.049027726,0.002409736,0.002058855,0.011055014,0.000373805,0.000753733
CV,Variable,Fuel,g/mi,,78.10100094,0.2191248,0.015102684,88.67695611,0.14151941,0.050736447,0.085617583,0.012771941,0.008163652,0.026316275,0.000995278,0.001451077
CV,Variable,Operation,g/mi,,411.1805874,0.008985242,0.005015405,412.7792269,0.165311736,1.448252004,0.045956429,0.037901857,0.009133737,0.002443743,0.003854871,0.001929371
HEV,Variable,Feedstock,g/mi,,-2.65220642,0.272961117,0.000250707,5.603064517,0.011000564,0.021971951,0.033840522,0.001663278,0.001421088,0.007630528,0.000258012,0.000520251
HEV,Variable,Fuel,g/mi,,53.90783707,0.151247025,0.010424361,61.20770342,0.097681275,0.035019937,0.059096025,0.008815607,0.005634816,0.018164344,0.000686973,0.001001581
HEV,Variable,Operation,g/mi,,283.8064407,0.007547603,0.005015405,285.361951,0.158896076,1.071706483,3.58E-02,0.037901857,0.009133737,0.00168675,0.003854871,0.001929371
BEV300,Variable,Feedstock_NG,g/mi,,18.712,0.637,0.003,38.542,0.03,0.077,0.089,0.001,0.001,0.038,0,0
BEV300,Variable,Feedstock_NGCC,g/mi,,17.16633462,0.583999802,0.002532473,35.35743396,0.027133001,0.070873781,0.081727945,0.001261453,0.001135658,0.034746364,0.000301594,0.000427899
BEV300,Variable,Feedstock_Nuclear,g/mi,,2.613747154,0.007494765,5.20E-05,2.852367643,0.001388664,0.005177269,0.005138229,0.000340676,0.000244505,0.001066603,4.07E-05,7.49E-05
BEV300,Variable,Feedstock_Coal,g/mi,,7.717419436,0.701554782,0.000153994,28.80487132,0.034976313,0.008618437,0.025816185,0.040424061,0.005673715,0.032239653,0.000170852,0.000376896
BEV300,Variable,Feedstock_RFC,g/mi,,10.31906291,0.401739896,0.001221092,22.69484914,0.019457742,0.036273497,0.044490675,0.008072599,0.001651826,0.022379173,0.000187778,0.000294841
BEV300,Variable,Fuel,g/mi,,174.5078099,0.016197404,0.002570772,175.6749866,0.002159646,0.022158071,0.075881987,0.011196207,0.009914651,0.078690279,0.000517946,0.003064235
BEV300,Variable,Operation,g/mi,,0,0,0,0,0,0,0,0.032395091,0.00426235,0,0.000462543,0.000671818
PHEV20_CD_Electric,Variable,Feedstock_NG,g/mi,,22.827,0.777,0.003,47.016,0.036,0.094,0.109,0.002,0.002,0.046,0,0.001
PHEV20_CD_Electric,Variable,Feedstock_NGCC,g/mi,,20.94064783,0.712,0.003,43.131,0.033,0.086,0.1,0.002,0.001,0.042,0,0.001
PHEV20_CD_Electric,Variable,Feedstock_Nuclear,g/mi,,3.188424312,0.009,0,3.48,0.002,0.006,0.006,0,0,0.001,0,0
PHEV20_CD_Electric,Variable,Feedstock_Coal,g/mi,,9.414,0.856,0,35.138,0.043,0.011,0.031,0.049,0.007,0.039,0,0
PHEV20_CD_Electric,Variable,Feedstock_RFC,g/mi,,12.58788595,0.490069305,0.00148957,27.68470111,0.02373586,0.044248848,0.054272714,0.009847499,0.002015009,0.027299619,0.000229064,0.000359666
PHEV20_CD_Electric,Variable,Fuel,g/mi,,212.8763461,0.019758681,0.003136,214.3001466,0.002634481,0.027029903,0.092565944,0.013657886,0.012094557,0.095991687,0.000631825,0.003737959
PHEV20_CD_Electric,Variable,Operation,g/mi,,0,0,0,0,0,0,0,0.032395091,0.00426235,0,0.000462543,0.000671818
PHEV20_CD_Gasoline,Variable,Feedstock,g/mi,,-0.115738467,0.01191163,1.09E-05,0.244509664,0.000480049,0.000958824,0.001476752,7.26E-05,6.20E-05,0.000332985,1.13E-05,2.27E-05
PHEV20_CD_Gasoline,Variable,Fuel,g/mi,,2.352460349,0.006600202,0.000454904,2.671016,0.00426267,0.00152822,0.002578865,0.0003847,0.000245895,0.000792666,3.00E-05,4.37E-05
PHEV20_CD_Gasoline,Variable,Operation,g/mi,,12.38518479,0.000227339,0.000151068,12.43203792,0.004786068,0.032280598,0.001079709,0.000165868,0.00014673,7.36E-05,0.000102179,3.79E-05
PHEV20_CS_Gasoline,Variable,Feedstock,g/mi,,-2.774903747,0.285588942,0.000262306,5.862275502,0.011509476,0.022988425,0.035406065,0.001740225,0.001486831,0.007983534,0.000269948,0.000544319
PHEV20_CS_Gasoline,Variable,Fuel,g/mi,,56.40174082,0.158244069,0.010906616,64.0393162,0.102200241,0.036640041,0.061829947,0.009223437,0.005895496,0.019004669,0.000718754,0.001047916
PHEV20_CS_Gasoline,Variable,Operation,g/mi,,296.9369565,0.007547603,0.005015405,298.4924668,0.158896076,1.071706483,0.035846014,0.037901857,0.009133737,0.001764783,0.003854871,0.001929371
PHEV20_Average,Variable,Feedstock,g/mi,,3.680332478,0.377204128,0.000786532,15.20488725,0.016889076,0.032395522,0.044018973,0.00520338,0.001736704,0.01630248,0.000257406,0.000475754
PHEV20_Average,Variable,Fuel,g/mi,,123.6453155,0.102407041,0.007809319,128.7869963,0.061851196,0.033218351,0.075934662,0.011263749,0.008624136,0.051934724,0.000694642,0.002205321
PHEV20_Average,Variable,Operation,g/mi,,176.4645532,0.004448379,0.002955961,177.3813342,0.093649591,0.631638464,0.021126793,0.035640649,0.007133431,0.00104878,0.002461901,0.00141299
PHEV20_Average,Variable,Total,g/mi,,303.7902012,0.484059548,0.011551812,321.3732177,0.172389862,0.697252337,0.141080428,0.052107779,0.017494271,0.069285983,0.003413949,0.004094064
