"","date","hour.ending","hour","AECO","AEPAPT","AEPIMP","AEPKPT","AEPOPT","AP","BC","CE","DAY","DEOK","DOM","DPLCO","DUQ","EASTON","EKPC","JC","ME","OE","OVEC","PAPWR","PE","PEPCO","PLCO","PN","PS","RECO","SMECO","UGI","VMEU"
"11",2019-01-01,11,11,835.902,3854.96,2548.758,644.329,5674.961,5223.73,3044.6,9476.726,1696,2661.418,9452.693,1707.238,1332.132,24.24,1438.081,2058.089,1552.039,6081.451,32,480.91,3976.643,2424.666,4100.043,1788.8,3983.195,135.581,335.344,114.265,57.112
"12",2019-01-01,12,12,854.087,3914.192,2581.657,662.682,5872.543,5325.852,3123.963,9719.826,1741,2741.46,9583.262,1734.896,1366.128,24.73,1469.628,2062.608,1575.729,6262.841,35,523.818,4072.009,2492.494,4176.253,1852.802,4030.22,135.987,342.317,116.908,56.295
"13",2019-01-01,13,13,856.539,3935.17,2704.809,663.776,5978.755,5352.555,3146.507,9880.489,1782,2795.787,9517.417,1733.142,1372.636,24.75,1466.386,2012.125,1559.669,6360.906,33,535.331,4079.25,2509.139,4114.499,1867.96,3900.167,133.749,344.279,121.408,56.301
"14",2019-01-01,14,14,816.896,3900.796,2697.76,663.729,6017.508,5307.112,3120.103,10016.332,1768,2804.066,9568.256,1711.213,1392.866,24.258,1453.539,1997.516,1525.093,6340.492,40,528.124,4039.706,2533.552,4085.6,1858.026,3886.818,134.886,344.826,121.598,51.274
"15",2019-01-01,15,15,836.97,3872.832,2769.134,662.839,5977.556,5388.76,3096.551,10095.538,1778,2820.054,9573.961,1705.268,1393.626,24.738,1444.185,2101.439,1516.678,6398.521,38,517.801,4033.549,2551.847,4053.546,1844.639,4049.789,136.988,346.726,121.642,52.682
"16",2019-01-01,16,16,877.213,3881.223,2754.456,655.603,6027.583,5424.772,3157.116,10149.518,1780,2820.125,9662.869,1743.845,1419.229,25.244,1454.978,2198.699,1540.556,6505.414,40,514.642,4075.915,2585.407,4093.19,1866.872,4193.151,142.674,355.339,122.908,60.8
"17",2019-01-01,17,17,977.823,3972.668,2769.939,661.658,6128.335,5595.078,3349.633,10272.079,1812,2879.563,10009.888,1866.104,1452.449,27.286,1487.571,2424.334,1625.627,6674.595,36,530.286,4299.849,2639.334,4302.112,1932.438,4505.925,155.384,382.57,130.222,66.961
"18",2019-01-01,18,18,1083.877,4224.076,2848.279,694.263,6328.311,5849.425,3680.543,10787.206,1880,3021.829,10911.42,2051.717,1519.203,29.884,1582.233,2696.625,1750.795,6940.844,37,557.554,4670.075,2825.261,4556.425,2019.51,4914.12,172.554,431.678,138.136,73.733
"19",2019-01-01,19,19,1105.67,4299.665,2930.027,709.006,6313.622,5902.894,3713.411,11175.148,1873,3043.984,11000.56,2064.123,1512.913,30.351,1633.199,2702.566,1750.732,6907.687,39,550.888,4663.136,2857.217,4569.365,2022.301,4921.701,173.569,441.212,138.109,73.351
"20",2019-01-01,20,20,1078.362,4315.27,2917.216,708.413,6258.65,5872.567,3695.168,11079.097,1843,2986.229,10891.08,2050.932,1498.281,29.87,1625.614,2664.23,1746.029,6878.363,37,551.715,4615.148,2825.48,4547.513,2007.494,4891.024,170.764,439.981,137.402,72.205
"21",2019-01-01,21,21,1054.835,4295.165,2907.477,705.032,6152.738,5813.675,3631.468,10958.085,1823,2948.001,10718.838,2013.442,1471.997,29.373,1586.277,2595.21,1715.212,6753.242,36,553.217,4525.755,2748.633,4446.923,1975.345,4817.797,165.92,430.635,133.475,70.752
"22",2019-01-01,22,22,1006.85,4231.386,2817.069,692.057,6087.863,5610.507,3505.13,10785.273,1782,2848.156,10350.834,1927.532,1442.265,27.761,1535.026,2460.253,1641.244,6640.718,39,556.578,4354.251,2685.863,4290.499,1899.478,4675.293,158.973,409.809,126.776,68.684
"23",2019-01-01,23,23,944.002,4096.008,2851.922,666.213,5831.535,5361.345,3284.103,10461.061,1709,2732.946,9853.355,1821.846,1369.42,26.738,1450.552,2269.451,1559.723,6383.325,35,535.675,4110.707,2576.079,4041.133,1808.334,4417.051,146.341,377.785,117.166,65.153
"24",2019-01-01,24,24,874.237,3960.756,2799.189,645.456,5619.769,5051.832,3075.944,10000.179,1658,2605.948,9366.895,1723.79,1291.401,24.762,1265.704,2085.72,1477.211,6081.423,34,515.429,3862.714,2417.651,3844.701,1750.813,4179.217,133.619,351.457,108.496,61.996
"25",2019-01-02,1,25,834.488,3888.04,2713.299,621.704,5428.689,4976.22,2939.087,9559.428,1611,2523.44,9080.596,1666.946,1238.428,24.748,1312.033,1958.133,1442.95,5897.233,35,491.171,3718.905,2285.64,3721.466,1706.97,3977.214,125.204,335.347,103.014,59.302
"26",2019-01-02,2,26,805.03,3855.654,2716.639,614.975,5358.48,4916.881,2854.539,9233.382,1597,2477.444,8919.886,1643.734,1201.013,24.244,1288.276,1903.036,1417.672,5810.058,33,482.183,3620.068,2246.212,3673.281,1687.731,3870.927,121.014,331.299,99.867,57.716
"27",2019-01-02,3,27,795.109,3883.189,2668.732,609.225,5327.417,4988.348,2840.31,9016.485,1580,2451.126,8997.022,1654.037,1192.317,24.765,1277.504,1889.082,1411.099,5746.453,28,451.319,3600.527,2200.237,3680.934,1676.91,3829.887,119.622,338.565,99.42,57.123
"28",2019-01-02,4,28,796.726,3926.808,2634.81,613.308,5358.487,4975.688,2863.552,8950.404,1597,2469.015,9186.951,1690.301,1193.036,25.229,1289.785,1904.49,1428.021,5743.986,37,453.061,3648.904,2252.646,3783.601,1674.83,3840.123,120.767,355.953,99.779,57.804
"29",2019-01-02,5,29,829.29,4019.327,2755.713,623.955,5460.727,5119.486,2994.63,8992.517,1640,2520.921,9565.748,1771.957,1217.465,26.755,1354.804,1972.596,1493.877,5911.89,29,476.503,3783.045,2349.346,3894.159,1732.599,3940.477,124.723,389.055,104.072,61.263
"30",2019-01-02,6,30,894.328,4233.863,2916.119,649.184,5771.002,5416.874,3282,9310.639,1766,2677.131,10417.153,1936.726,1292.315,29.446,1331.252,2162.658,1640.138,6280.736,35,518.079,4122.407,2613.447,4265.784,1863.25,4200.725,133.353,431.03,113.475,67.048
"31",2019-01-02,7,31,1009.095,4562.386,3070.625,700.248,6251.074,5789.705,3691.542,10015.272,1937,2894.954,11463.406,2175.581,1402.974,32.304,1533.778,2451.818,1856.618,6849.955,42,584.573,4583.975,2903.323,4812.887,2066.399,4674.76,149.003,471.589,129.183,74.833
"32",2019-01-02,8,32,1043.679,4812.61,3215.879,736.447,6601.462,6086.925,3857.032,10998.21,2092,3093.358,12021.22,2260.535,1499.217,34.721,1626.288,2615.1,1976.67,7338.226,44,648.994,4862.869,3096.485,5130.117,2253.751,5045.607,164.916,476.42,139.641,78.514
"33",2019-01-02,9,33,1035.181,4864.67,3407.321,735.275,6740.367,6192.675,3812.907,11633.573,2143,3133.745,12066.87,2240.001,1528.461,35.032,1606.336,2605.835,1992.546,7470.242,49,669.517,4893.211,3108.913,5210.756,2244.978,5083.621,169.697,460.423,139.893,78.228
"34",2019-01-02,10,34,1000.368,4882.286,3393.449,743.088,6773.348,6219.852,3777.937,11875.384,2163,3194.985,11989.572,2210.446,1549.367,35.112,1597.379,2522.225,1989.408,7569.439,50,677.281,4902.255,3098.284,5223.363,2282.413,5070.17,170.488,449.926,140.958,76.894
"35",2019-01-02,11,35,1005.795,4897.522,3412.925,741.34,6869.194,6292.43,3766.038,12096.961,2197,3261.109,11906.07,2186.383,1565.286,34.469,1592.564,2475.711,2021.874,7722.715,45,673.023,4870.46,3109.396,5246.913,2288.383,5022.482,167.694,442.351,141.546,75.004
"36",2019-01-02,12,36,996.974,4854.066,3431.117,728.323,6871.67,6247.54,3735.152,12308.022,2206,3245.747,11838.321,2165.783,1582.409,33.961,1640.313,2431.49,2006.601,7771.851,51,667.933,4850.082,3101.198,5205.628,2313.74,4929.637,165.46,437.088,139.393,75.916
"37",2019-01-02,13,37,968.614,4776.671,3402.4,726.419,6848.059,6248.196,3716.189,12399.902,2218,3241.174,11728.029,2145.654,1578.544,33.46,1613.977,2393.142,1991.575,7723.756,49,668.632,4789.906,3092.547,5199.14,2284.497,4902.703,163.599,431.144,139.564,75.696
"38",2019-01-02,14,38,1001.02,4756.7,3465.036,726.93,6820.561,6199.041,3713.011,12468.91,2203,3238.58,11677.557,2139.119,1583.856,32.998,1605.737,2453.7,2003.429,7769.758,47,677.726,4808.514,3064.094,5212.34,2338.298,4994.114,164.8,428.353,139.678,78.494
"39",2019-01-02,15,39,1013.628,4721.474,3433.969,715.315,6781.216,6226.146,3718.416,12537.317,2198,3242.66,11578.303,2129.92,1578.677,32.973,1589.159,2507.987,1985.534,7672.31,51,673.437,4817.112,3066.588,5206.944,2281.315,5076.196,166.936,428.074,138.538,78.74
"40",2019-01-02,16,40,1045.715,4687.18,3395.442,713.991,6740.372,6176.071,3766.649,12535.145,2178,3215.916,11713.269,2152.613,1563.135,32.963,1583.672,2614.447,1986.613,7578.517,47,657.689,4884.156,3115.49,5152.637,2231.646,5185.484,168.688,435.887,138.712,80.465
"41",2019-01-02,17,41,1136.493,4766.891,3443.759,715.193,6794.603,6318.633,3926.459,12517.023,2193,3262.5,12131.809,2262.793,1589.228,33.509,1638.533,2828.451,2060.759,7668.295,52,661.939,5097.764,3175.151,5319.129,2314.363,5431.98,179.047,465.471,146.525,84.602
"42",2019-01-02,18,42,1228.14,4982.863,3538.856,739.548,7078.433,6585.723,4164.347,12919.765,2272,3400.709,12839.897,2422.895,1671.148,35.48,1727.887,3049.244,2158.503,7883.462,50,681.573,5382.329,3307.532,5489.52,2364.126,5719.657,193.71,503.653,155.571,87.977
"43",2019-01-02,19,43,1227.211,4972.206,3484.019,741.835,7131.423,6628.919,4148.707,13129.592,2305,3411.448,12823.815,2428.339,1675.212,34.994,1797.439,3063.64,2142.41,7885.893,52,684.078,5355.27,3224.161,5460.799,2395.269,5691.354,192.87,506.294,156.65,87.292
"44",2019-01-02,20,44,1209.326,4987.561,3483.922,739.687,7031.308,6532.324,4085.421,12875.394,2252,3386.294,12653.409,2394.978,1652.687,33.978,1770.952,3006.863,2120.204,7788.289,50,675.712,5229.56,3124.335,5406.516,2344.944,5613.18,187.817,500.309,154.35,84.973
"45",2019-01-02,21,45,1172.53,4958.255,3464.293,738.999,6905.692,6411.164,3983.68,12629.913,2222,3300.313,12338.827,2330.821,1619.901,32.989,1719.181,2913.065,2067.138,7666.764,52,670.731,5138.142,3001.435,5241.601,2308.413,5487.82,181.651,488.134,151.398,82.553
"46",2019-01-02,22,46,1113.82,4815.209,3368.682,721.721,6729.195,6184.662,3770.485,12339.585,2144,3193.643,11725.814,2198.311,1551.584,30.872,1604.739,2734.288,1966.624,7391.638,48,632.645,4873.856,2876.209,5021.998,2214.509,5257.586,172.216,457.252,142.876,78.903
"47",2019-01-02,23,47,1023.828,4607.937,3178.084,695.473,6396.865,5895.314,3493.841,11891.533,2043,3024.275,11022.148,2034.782,1463.285,28.84,1607.044,2475.471,1854.194,7078.113,46,607.786,4525.336,2707.414,4649.881,2058.86,4893.433,155.964,414.579,130.286,73.542
"48",2019-01-02,24,48,940.285,4361.958,2984.423,669.317,6102.496,5529.647,3225.182,11259.19,1940,2871.051,10378.031,1891.208,1364.9,26.757,1506.921,2247.817,1730.157,6726.037,42,582.671,4194.428,2504.604,4388.924,1938.353,4545.222,140.519,379.643,118.391,69.237
"49",2019-01-03,1,49,876.856,4216.953,2822.447,644.005,5843.657,5359.644,3044.121,10667.655,1879,2738.526,9900.216,1788.768,1294.663,25.262,1417.888,2088.633,1663.838,6495.045,40,546.749,3927.652,2381.56,4201.597,1876.185,4278.606,130.435,354.156,110.657,65.043
"50",2019-01-03,2,50,842.377,4086.182,2822.599,638.185,5748.716,5206.385,2937.908,10289.126,1830,2690.05,9678.226,1736.652,1256.074,24.277,1413.443,2001.579,1599.528,6370.43,35,525.835,3797.924,2283.061,4070.716,1839.223,4126.06,124.467,340.854,106.526,62.773
"51",2019-01-03,3,51,826.263,4080.654,2829.336,627.593,5723.308,5161.555,2887.729,10040.575,1797,2647.141,9570.797,1715.606,1265.591,24.795,1393.65,1961.987,1571.749,6298.939,37,543.292,3743.649,2243.183,4017.237,1815.108,4034.991,122.152,339.344,105.003,61.494
"52",2019-01-03,4,52,822.077,4079.241,2895.761,631.818,5668.578,5215.503,2897.042,9914.61,1797,2648.323,9581.105,1714.478,1267.475,24.25,1394.225,1946.181,1585.255,6270.02,36,533.438,3732.789,2247.405,4021.776,1792.73,4002.936,121.629,343.024,103.779,61.913
"53",2019-01-03,5,53,841.636,4160.157,2972.461,637.006,5828.197,5282.074,3006.914,9852.71,1832,2692.167,9898.245,1756.457,1296.547,25.262,1446.822,1994.644,1636.202,6378.764,36,553.19,3847.617,2326.922,4104.665,1838.194,4050.753,123.63,361.285,105.366,63.669
"54",2019-01-03,6,54,886.227,4331.687,3115.458,660.477,6154.882,5628.812,3263.349,10095.873,1937,2867.722,10575.1,1883.286,1377.915,26.765,1453.81,2144.853,1769.037,6643.129,40,596.351,4082.589,2539.61,4395.352,1964.764,4273.851,132.046,396.29,113.793,68.091
